id;name;main_email;dealer_reference;dealer_type_id
1;system;Automotive vertical e-commerce;963d7218-7b63-4104-b882-5a8c5a1f977f;1
2;Rustic Intelligent;Corporate Hampshire;9ca3bcc0-9ac6-4919-bf22-ddfccfe8f5ce;2
3;pixel maximize plum;Peso orange;83184369-70af-40c5-91f4-fa617de727fd;3
4;Configurable Plastic card;Mexico Moldovan Borders;8d815326-8720-4da8-aa32-ea01dacf7fc4;4
5;Knolls;grow;dfa4fa69-7d9d-4768-9575-ea3063c75f8e;5
6;California;wireless encryption National;b56d6992-02f4-4df9-8d18-8f3891914637;6
7;B2C panel;compress Automotive;9c78820e-b60e-4270-8923-7eda5b87ff96;7
8;haptic;service-desk Shirt pricing;5185f62d-31c5-4d0d-8235-496430a805a0;8
9;Engineer base architecture;Practical;882d6d42-6c6c-496d-9214-9be1253ab3b8;9
10;Grocery;Bedfordshire methodology Denar;09600200-e8ad-4355-93f1-4858d82d50a9;10
