id;time_of_compilation;compilation_identifier;receipts_compiled
1;2024-01-01T10:18:31;5e2b94c6-1de6-4a8c-8d5c-a663559b13ac;50629
2;2024-01-01T04:40:00;3cdceaac-aad8-445e-9720-8bff834cb70d;36199
3;2023-12-31T20:24:29;2d59a510-f8f3-4d8a-b7d6-f77f0243d32d;82617
4;2024-01-01T13:19:14;99770ed9-aa64-43ab-8eac-e52d075b0dc9;86716
5;2024-01-01T04:17:06;5953fc79-4653-4ccc-9881-924d9761c03a;48608
6;2024-01-01T08:20:00;5e8c098f-5f2d-4bea-889e-752060d095a8;15437
7;2023-12-31T22:21:41;1b2de4a4-350a-4ca1-accf-7fc1a74f65fb;43409
8;2024-01-01T08:07:58;bd6a62b6-08e5-4e44-801f-3e1ae45303cc;75441
9;2024-01-01T07:43:51;0d3ed93e-ea30-44f0-a84a-14ddf2563c78;20868
10;2024-01-01T00:13:00;ab62ef3c-629a-41f8-8791-a87d46d029eb;11579
