id;time_of_posting;posting_identifier;number_of_receipts_posted
1;2023-12-16T19:22:38;7db8b90d-3dc4-445c-90fb-aaf54833d556;93725
2;2023-12-17T10:49:15;aa2ccdd6-7b81-4962-84c3-f83fdcffcfa8;22204
3;2023-12-16T22:00:49;99f4bb04-8258-45cd-8bfd-8553d0b76861;45913
4;2023-12-17T00:29:39;75b6ce5f-0694-4c8d-9af9-ad85cdd9615f;30898
5;2023-12-17T13:59:19;671f29be-bbf9-4527-801b-5de9c346c62f;28252
6;2023-12-16T20:33:11;b6d4871c-cba2-48b6-947f-a8d81c733172;31747
7;2023-12-16T16:03:53;f125c2e7-fe56-4a3f-9dc4-c3aef5d75090;40084
8;2023-12-17T12:09:12;5ac5979b-94ae-44dd-ad85-df6515a57cc2;88151
9;2023-12-17T02:16:34;c27ede49-ffc7-42c1-a657-0bd02b51f9e8;34874
10;2023-12-17T01:49:30;3a441bc8-347c-4168-acb0-349ba4345562;16281
